"","announcement","name","maturity_sector","mean","sd","iqr","max","min"
"37","QE1b","bid_ask_v2_t+1_change","long",-4.87305884606964e-05,7.61526323012571e-05,3.92597998428154e-05,-4.50547866205284e-06,-0.000230123274419812
"38","QE1b","bid_ask_v2_t+1_change","medium",6.26047016225748e-05,0.000157368666046246,0.000275311797271739,0.000245409758213983,-9.59370499451304e-05
"39","QE1b","bid_ask_v2_t+1_change","untargeted_long",1.88877927377727e-05,0.000154721249727431,0.00011193252996236,0.000210243379345525,-0.000239502649816626
"40","QE1b","bid_ask_v2_t+1_change","untargeted_short",-5.00980575791674e-05,0.000245723549248842,0.000228427719445904,0.000230613628957332,-0.000226241809934476
"41","QE1b","bid_ask_v3_COB_change","long",9.16911551977607e-07,1.96861099227916e-06,3.31590662322082e-06,3.67935049681053e-06,-8.11774912991715e-07
"42","QE1b","bid_ask_v3_COB_change","medium",1.38025008257461e-06,8.66012658064825e-07,1.27127967952949e-06,2.70010970092918e-06,5.76892920544703e-07
"43","QE1b","bid_ask_v3_COB_change","untargeted_long",3.11901400528216e-06,6.8570933305775e-07,6.16855476107971e-07,3.71020004942405e-06,1.77665826336536e-06
"44","QE1b","bid_ask_v3_COB_change","untargeted_short",1.22922467004965e-06,6.57970281947842e-07,5.76632227372169e-07,1.98881423879073e-06,8.35549784046388e-07
"45","QE1b","bid_ask_v3_t+1_change","long",3.12908643133579e-06,2.20011437079542e-06,3.49320118080634e-06,6.35580493908966e-06,1.33186848551628e-06
"46","QE1b","bid_ask_v3_t+1_change","medium",2.50857390037406e-06,1.35160181125625e-06,1.8718346057138e-06,4.65180209902641e-06,1.30248840304398e-06
"47","QE1b","bid_ask_v3_t+1_change","untargeted_long",8.0036447665148e-06,1.44170896125898e-06,1.58326899453047e-06,9.5266886466931e-06,5.40404684685591e-06
"48","QE1b","bid_ask_v3_t+1_change","untargeted_short",1.98285551046909e-06,4.33415672946757e-07,3.82396724205351e-07,2.48304002531635e-06,1.71824657690565e-06
"49","QE1c","bid_ask_v1_COB_change","long",-0.000625000000000098,0.00184681192483559,0.000249999999999861,0.000999999999999446,-0.00500000000000078
"50","QE1c","bid_ask_v1_COB_change","medium",-0.000111111111111346,0.000781735959970588,0.00100000000000033,0.00099999999999989,-0.00100000000000033
"51","QE1c","bid_ask_v1_COB_change","short",-0.000200000000000022,0.000421637021355948,7.7715611723761e-16,4.44089209850063e-16,-0.00100000000000033
"52","QE1c","bid_ask_v1_t+1_change","long",0.00237500000000002,0.00673874723414635,0.000250000000000972,0.0190000000000001,-0.00100000000000033
"53","QE1c","bid_ask_v1_t+1_change","medium",0.000222222222222099,0.000440958551843728,8.88178419700125e-16,0.00099999999999989,-4.44089209850063e-16
"54","QE1c","bid_ask_v1_t+1_change","short",-0.000199999999999978,0.000421637021355854,3.33066907387547e-16,4.44089209850063e-16,-0.00100000000000033
"55","QE1c","bid_ask_v2_COB_change","long",-9.80516123471378e-05,0.000389334847419601,5.91812488884704e-05,0.000257700787053712,-0.00101477115448879
"56","QE1c","bid_ask_v2_COB_change","medium",1.38202802008895e-05,0.000189653661912437,0.000237649545086107,0.000306657272191585,-0.000221380369799076
"57","QE1c","bid_ask_v2_COB_change","short",6.45101316667626e-05,0.000172707580559601,4.18894315309653e-05,0.000398860942571222,-0.000265719964775352
"58","QE1c","bid_ask_v2_t+1_change","long",0.000604385288673515,0.00158865953611992,6.36651903179027e-05,0.00452471827510854,-0.000180299167503641
"59","QE1c","bid_ask_v2_t+1_change","medium",9.20298151879421e-05,0.000106308740119992,5.75074583962166e-05,0.000283826750757997,1.8870238802874e-06
"60","QE1c","bid_ask_v2_t+1_change","short",-9.81940567159262e-06,0.000140084353288449,4.43462097848598e-05,0.000229169925671425,-0.000272962348256057
"61","QE1c","bid_ask_v3_COB_change","long",-0.000109558736285748,0.000252666480702967,4.44384215420642e-06,-1.6987695397e-05,-0.000734845586800754
"62","QE1c","bid_ask_v3_COB_change","medium",-8.55893584919156e-06,3.80788355842386e-06,7.02614917214993e-06,-3.96540308261327e-06,-1.41911687884157e-05
"63","QE1c","bid_ask_v3_COB_change","short",-2.48784926435356e-06,1.04104508558563e-06,1.69103157857486e-06,-1.26454543778679e-06,-4.17896379605878e-06
"64","QE1c","bid_ask_v3_t+1_change","long",0.000337021702440862,0.0010285629424249,5.46487242030814e-06,0.00288257460523284,-3.08387263298013e-05
"65","QE1c","bid_ask_v3_t+1_change","medium",-1.05706213858932e-05,9.56815262518371e-06,1.86869364713301e-05,-3.5309688799928e-07,-2.2683799144552e-05
"66","QE1c","bid_ask_v3_t+1_change","short",-7.16765320275456e-07,1.08895717988458e-06,1.90163365619026e-06,5.81089909414047e-07,-2.45756404300185e-06
"67","QE1d","bid_ask_v1_COB_change","long",0.000249999999999972,0.00070710678118647,0.00100000000000056,0.00100000000000033,-0.000999999999999446
"68","QE1d","bid_ask_v1_COB_change","medium",-0.00011111111111105,0.000600925212577276,4.44089209850063e-16,0.000999999999999446,-0.00100000000000033
"69","QE1d","bid_ask_v1_COB_change","short",-0.000166666666666685,0.000577350269189481,0.000250000000000306,0.000999999999999446,-0.00100000000000033
"70","QE1d","bid_ask_v1_t+1_change","long",0.000375000000000125,0.000517549169506448,0.000999999999999446,0.00100000000000033,0
"71","QE1d","bid_ask_v1_t+1_change","medium",-0.000111111111111198,0.000600925212577245,0,0.000999999999999446,-0.00100000000000033
"72","QE1d","bid_ask_v1_t+1_change","short",3.70074518006916e-17,0.000603022689155528,2.22044604925031e-16,0.00100000000000033,-0.00099999999999989
"73","QE1d","bid_ask_v2_COB_change","long",5.50960231112174e-05,0.000164359276009559,0.00022902717555886,0.000234575188315514,-0.000236853971293678
"74","QE1d","bid_ask_v2_COB_change","medium",-4.56561365486364e-05,0.00014712219089973,1.92657165936005e-05,0.000218891991778748,-0.000288245982352782
"75","QE1d","bid_ask_v2_COB_change","short",-8.95819418875689e-05,0.000178962298260016,7.9838884970279e-05,0.000265662199535768,-0.000391912913873122
"76","QE1d","bid_ask_v2_t+1_change","long",8.12398324273791e-05,0.000121265282434772,0.00023027269719391,0.000233691870804396,-1.26140069717613e-05
"77","QE1d","bid_ask_v2_t+1_change","medium",-5.49605779321401e-05,0.000147285652278744,2.60669166431387e-05,0.000212811012010092,-0.000303953655462424
