operation_date,ISIN,proceeds_offers,proceeds_purchases,nominal_purchases,tail,res_mat,maturity,cuml_nom_purch,issue_date,cumulative_total_in_issue,percent_of_freefloat,bid_cover,YLD_YTM_MID,YLD_BID_ASK,date_dif,1DCHNG_YIELD_BID_ASK,1DCHNG_date_dif,1DCHNG_EOD_YIELD_BID_ASK,1DCHNG_EOD_date_dif,prog
2011-10-10,GB0033280339,223.4,22.9,20,0,3.909650924024641,2015-09-07,13178.7,2010-10-15,33650.461,0.39163505070554605,9.755458515283843,1.137,0.006000000000000005,0,0.0029999999999998916,4,0.0029999999999998916,3,QE2
2011-10-10,GB0008881541,130.6,124.1,95,0.05,4.158795345653662,2015-12-07,4390.9,2009-01-21,9997.897,0.4391823600503185,1.0523771152296535,1.182,0.010999999999999899,0,0.0020000000000000018,4,0.0029999999999998916,3,QE2
2011-10-10,GB00B0V3WX43,147.9,11.3,10,0,4.91170431211499,2016-09-07,7439.5,2010-07-21,29577,0.2515299049937451,13.088495575221238,1.433,0.004999999999999893,0,9.999999999998899e-4,4,9.999999999998899e-4,3,QE2
2011-10-10,GB0008931148,0,0,0,0,5.87542778918549,2017-08-25,2871.4,2009-01-21,10502,0.2734145876975814,NA,1.664,0.009000000000000119,0,-0.007000000000000117,4,-0.006999999999999895,3,QE2
2011-10-10,GB00B1VWPC84,485.8,0,0,0,6.406570841889117,2018-03-07,12320,2010-02-04,25388,0.4852686308492201,Inf,1.823,0.006000000000000005,0,-9.999999999998899e-4,4,-9.999999999998899e-4,3,QE2
2011-10-10,GB00B058DQ55,616.5,11.9,10,0,8.407939767282683,2020-03-07,10894.3,2010-05-21,31392.503,0.3470350866893283,51.80672268907563,2.336,0.0040000000000000036,0,9.999999999998899e-4,4,9.999999999998899e-4,3,QE2
2011-10-10,GB00B39R3F84,278.7,0,0,0,7.405886379192334,2019-03-07,7652.8,2009-06-04,26302.749,0.2909505770670587,Inf,2.087,0.004999999999999893,0,-0.001000000000000112,4,-2.220446049250313e-16,3,QE2
2011-10-10,GB00B4YRFP41,846.3,549.1,490,0.04,7.909650924024641,2019-09-07,2688.6,2010-02-25,27086.769,0.09925879310300907,1.541249317064287,2.214,0.0050000000000003375,0,0,4,0.001000000000000334,3,QE2
2011-10-10,GB00B4LFZR36,596.1,117.1,110,0.01,3.2854209445585214,2015-01-22,525,2010-08-04,28180.642,0.0186298097821902,5.0905209222886425,1.013,0.006999999999999895,0,0,4,9.999999999998899e-4,3,QE2
2011-10-10,GB00B3QCG246,725.3,191.6,185,0.01,4.284736481861739,2016-01-22,185,2011-07-20,31194.281,0.005930574261352586,3.7854906054279747,1.318,0.006000000000000005,0,0,4,0.0020000000000000018,3,QE2
2011-10-10,GB00B3Z3K594,651.8,137.3,135.3,0.03,5.286789869952088,2017-01-22,135.3,2011-09-23,9618.925,0.014066020891107896,4.747268754552075,1.575,0.006000000000000005,0,-9.999999999998899e-4,4,0.001000000000000112,3,QE2
