date,ticker_abrv,ois_yield,ois_tenor
2021-12-13,BPSWS30_OIS,0.5156,30
2021-12-13,BPSWS40_OIS,0.4148,40
2021-12-13,BPSWS50_OIS,0.321,50
2021-12-14,BPSWS1Z_OIS,0.0826,0.019178082191780823
2021-12-14,BPSWS2Z_OIS,0.0904,0.038356164383561646
2021-12-14,BPSWSA_OIS,0.0955,0.08333333333333333
2021-12-14,BPSWSB_OIS,0.1273,0.16666666666666666
2021-12-14,BPSWSC_OIS,0.1735,0.25
2021-12-14,BPSWSD_OIS,0.2189,0.3333333333333333
2021-12-14,BPSWSE_OIS,0.2619,0.4166666666666667
2021-12-14,BPSWSF_OIS,0.308,0.5
2021-12-14,BPSWSG_OIS,0.35435,0.5833333333333334
2021-12-14,BPSWSH_OIS,0.401,0.6666666666666666
2021-12-14,BPSWSI_OIS,0.449,0.75
2021-12-14,BPSWSJ_OIS,0.4912,0.8333333333333334
2021-12-14,BPSWSK_OIS,0.5292,0.9166666666666666
2021-12-14,BPSWS1_OIS,0.5649,1
2021-12-14,BPSWS1F_OIS,0.711,1.5
2021-12-14,BPSWS2_OIS,0.801,2
2021-12-14,BPSWS3_OIS,0.86,3
2021-12-14,BPSWS4_OIS,0.849,4
2021-12-14,BPSWS5_OIS,0.821,5
2021-12-14,BPSWS6_OIS,0.793,6
2021-12-14,BPSWS7_OIS,0.768,7
2021-12-14,BPSWS8_OIS,0.75,8
2021-12-14,BPSWS9_OIS,0.736,9
2021-12-14,BPSWS10_OIS,0.727,10
2021-12-14,BPSWS12_OIS,0.708,12
2021-12-14,BPSWS15_OIS,0.677,15
2021-12-14,BPSWS20_OIS,0.634,20
2021-12-14,BPSWS25_OIS,0.597,25
2021-12-14,BPSWS30_OIS,0.562,30
2021-12-14,BPSWS40_OIS,0.46805,40
2021-12-14,BPSWS50_OIS,0.3738,50
2021-12-15,BPSWS1Z_OIS,0.0961,0.019178082191780823
2021-12-15,BPSWS2Z_OIS,0.1135,0.038356164383561646
2021-12-15,BPSWSA_OIS,0.1121,0.08333333333333333
2021-12-15,BPSWSB_OIS,0.1484,0.16666666666666666
2021-12-15,BPSWSC_OIS,0.2075,0.25
2021-12-15,BPSWSD_OIS,0.2602,0.3333333333333333
2021-12-15,BPSWSE_OIS,0.302,0.4166666666666667
2021-12-15,BPSWSF_OIS,0.354,0.5
2021-12-15,BPSWSG_OIS,0.403,0.5833333333333334
2021-12-15,BPSWSH_OIS,0.4511,0.6666666666666666
2021-12-15,BPSWSI_OIS,0.5,0.75
2021-12-15,BPSWSJ_OIS,0.5433,0.8333333333333334
2021-12-15,BPSWSK_OIS,0.579,0.9166666666666666
2021-12-15,BPSWS1_OIS,0.6151,1
2021-12-15,BPSWS1F_OIS,0.7583,1.5
2021-12-15,BPSWS2_OIS,0.8498,2
2021-12-15,BPSWS3_OIS,0.898,3
2021-12-15,BPSWS4_OIS,0.882,4
2021-12-15,BPSWS5_OIS,0.849,5
2021-12-15,BPSWS6_OIS,0.817,6
2021-12-15,BPSWS7_OIS,0.791,7
2021-12-15,BPSWS8_OIS,0.771,8
2021-12-15,BPSWS9_OIS,0.756,9
2021-12-15,BPSWS10_OIS,0.746,10
2021-12-15,BPSWS12_OIS,0.727,12
2021-12-15,BPSWS15_OIS,0.698,15
2021-12-15,BPSWS20_OIS,0.659,20
2021-12-15,BPSWS25_OIS,0.625,25
2021-12-15,BPSWS30_OIS,0.593,30
2021-12-15,BPSWS40_OIS,0.49825,40
2021-12-15,BPSWS50_OIS,0.411,50
2021-12-16,BPSWS1Z_OIS,0.1955,0.019178082191780823
2021-12-16,BPSWS2Z_OIS,0.1955,0.038356164383561646
2021-12-16,BPSWSA_OIS,0.195,0.08333333333333333
2021-12-16,BPSWSB_OIS,0.2338,0.16666666666666666
2021-12-16,BPSWSC_OIS,0.279,0.25
2021-12-16,BPSWSD_OIS,0.3306,0.3333333333333333
2021-12-16,BPSWSE_OIS,0.3717,0.4166666666666667
2021-12-16,BPSWSF_OIS,0.4247,0.5
2021-12-16,BPSWSG_OIS,0.474,0.5833333333333334
2021-12-16,BPSWSH_OIS,0.516,0.6666666666666666
2021-12-16,BPSWSI_OIS,0.563,0.75
2021-12-16,BPSWSJ_OIS,0.603,0.8333333333333334
2021-12-16,BPSWSK_OIS,0.637,0.9166666666666666
